rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-CC110045/	1035.0	668.0	2149.0	1676.0	324.0	2917.0	6311.0	3047.0	852.0	4383.0	2576.0	2985.0	2068.0	3475.0	679.0	1580.0	1407.0	801.0	1583.0	1572.0	3676.0	1262.0	4918.0	3639.0	680.0	5597.0	7261.0	5248.0	3185.0	3051.0	290.0	489.0	318.0	2036.0	83736.5	1203207.0	1570215.26232
sub-CC110056/	1086.0	645.0	1807.0	1294.0	393.0	2721.0	5119.0	2919.0	804.0	4033.0	2286.0	2953.0	1939.0	3674.0	533.0	1255.0	1106.0	789.0	1225.0	1520.0	3351.0	1115.0	4052.0	3100.0	614.0	5252.0	6441.0	4594.0	3802.0	3491.0	319.0	386.0	305.0	2042.0	76959.2	1108622.0	1456863.2737
sub-CC110062/	828.0	666.0	3065.0	1655.0	464.0	3791.0	7011.0	4484.0	917.0	5709.0	2491.0	3017.0	2259.0	4373.0	774.0	1737.0	1574.0	855.0	1878.0	1627.0	4375.0	1225.0	5366.0	4264.0	613.0	6098.0	8375.0	5642.0	4060.0	4044.0	296.0	519.0	377.0	2938.0	97367.7	1384550.0	1750164.7766
sub-CC110069/	1035.0	816.0	1972.0	1339.0	528.0	3194.0	4969.0	3132.0	880.0	4573.0	2437.0	2961.0	1864.0	3498.0	594.0	1539.0	1260.0	807.0	1338.0	1461.0	3772.0	1347.0	4807.0	3906.0	591.0	5890.0	7430.0	5235.0	3860.0	3228.0	317.0	503.0	300.0	2087.0	83455.0	1153468.0	1548859.23049
sub-CC110087/	792.0	569.0	2085.0	1536.0	436.0	3410.0	4729.0	3022.0	668.0	5070.0	2473.0	2429.0	1986.0	3346.0	615.0	1486.0	1237.0	802.0	1596.0	1367.0	3741.0	936.0	4605.0	3535.0	489.0	5032.0	6618.0	4398.0	3528.0	3189.0	288.0	488.0	292.0	2334.0	79039.0	1093216.0	1418121.01142
sub-CC110098/	932.0	868.0	2886.0	1767.0	386.0	3387.0	5401.0	3298.0	977.0	5403.0	2753.0	3519.0	2169.0	3560.0	676.0	1835.0	1448.0	913.0	1799.0	1903.0	4223.0	1416.0	4982.0	4647.0	791.0	5937.0	8118.0	5623.0	3865.0	4214.0	297.0	439.0	356.0	2493.0	93282.4	1273735.0	1679125.33446
sub-CC110101/	1185.0	708.0	2042.0	1744.0	530.0	3617.0	7770.0	3701.0	1128.0	5003.0	2048.0	3606.0	1415.0	3880.0	740.0	1610.0	1355.0	752.0	1740.0	1687.0	4403.0	1421.0	5565.0	4837.0	539.0	5584.0	7300.0	5606.0	4261.0	4284.0	370.0	576.0	434.0	2405.0	93841.9	1277691.0	1761148.86602
sub-CC110126/	898.0	882.0	1917.0	1733.0	367.0	3242.0	5782.0	3791.0	1096.0	5007.0	2739.0	2885.0	2035.0	3742.0	555.0	1552.0	1301.0	911.0	1448.0	1486.0	4120.0	1465.0	4816.0	5120.0	814.0	6615.0	7194.0	6206.0	4220.0	3643.0	303.0	525.0	384.0	2501.0	91297.0	1281488.0	1612610.13139
sub-CC110174/	619.0	571.0	1584.0	1330.0	261.0	2457.0	3366.0	2378.0	794.0	4131.0	2447.0	2827.0	1654.0	2685.0	556.0	1381.0	972.0	811.0	1479.0	1521.0	3528.0	1001.0	3762.0	3327.0	412.0	4484.0	6092.0	4370.0	3095.0	2969.0	268.0	384.0	256.0	1911.0	69680.8	985416.0	1219193.1219
sub-CC110182/	654.0	795.0	1540.0	1575.0	293.0	2893.0	4509.0	2599.0	771.0	4696.0	2461.0	3283.0	1870.0	2961.0	594.0	1296.0	1347.0	880.0	1307.0	1516.0	3399.0	1190.0	3834.0	4483.0	574.0	6206.0	5948.0	5489.0	3384.0	3831.0	334.0	437.0	326.0	2033.0	79304.4	1121413.0	1484934.93773
